Name,Coin Symbol(ticker),Market Cap(In Millions),Current Price,Percentage Change on ATH,No. of Exchanges
"=HYPERLINK(""https://www.coingecko.com/en/coins/wrapped-crescofin"",""Wrapped CrescoFin"")",wcres,47.14,37.65,19.22,1
"=HYPERLINK(""https://www.coingecko.com/en/coins/mstable-usd"",""mStable USD"")",musd,40.82,0.99,17.83,1
"=HYPERLINK(""https://www.coingecko.com/en/coins/slink"",""sLINK"")",slink,40.37,32.48,15.96,0
"=HYPERLINK(""https://www.coingecko.com/en/coins/blackdragon-token"",""BlackDragon Token"")",BDT,39.55,34.13,12.17,1
"=HYPERLINK(""https://www.coingecko.com/en/coins/dfohub"",""dfohub"")",buidl,38.1,11.98,12.43,1
"=HYPERLINK(""https://www.coingecko.com/en/coins/stasis-euro"",""STASIS EURO"")",eurs,37.17,1.16,14.07,5
"=HYPERLINK(""https://www.coingecko.com/en/coins/exnetwork-token"",""ExNetwork Token"")",exnt,36.13,0.57,15.1,1
"=HYPERLINK(""https://www.coingecko.com/en/coins/cutcoin"",""CUTcoin"")",cut,32.57,0.24,13.58,0
"=HYPERLINK(""https://www.coingecko.com/en/coins/mirrored-amazon"",""Mirrored Amazon"")",mamzn,32.56,3489.5,15.34,2
"=HYPERLINK(""https://www.coingecko.com/en/coins/mirrored-netflix"",""Mirrored Netflix"")",mnflx,32.25,561.49,18.93,1
"=HYPERLINK(""https://www.coingecko.com/en/coins/unifty"",""Unifty"")",nif,32.03,31.98,12.5,1
"=HYPERLINK(""https://www.coingecko.com/en/coins/mirrored-twitter"",""Mirrored Twitter"")",mtwtr,31.79,72.61,10.41,2
"=HYPERLINK(""https://www.coingecko.com/en/coins/mirrored-invesco-qqq-trust"",""Mirrored Invesco QQQ Trust"")",mqqq,31.26,347.84,15.69,1
"=HYPERLINK(""https://www.coingecko.com/en/coins/mirrored-microsoft"",""Mirrored Microsoft"")",mmsft,30.99,263.85,15.7,1
"=HYPERLINK(""https://www.coingecko.com/en/coins/adappter-token"",""Adappter Token"")",adp,30.41,0.09,17.03,0
"=HYPERLINK(""https://www.coingecko.com/en/coins/bitberry-token"",""Bitberry Token"")",bbr,29.46,12.73,15.53,1
"=HYPERLINK(""https://www.coingecko.com/en/coins/mirrored-united-states-oil-fund"",""Mirrored United States Oil Fund"")",muso,27.82,41.49,11.69,1
"=HYPERLINK(""https://www.coingecko.com/en/coins/axel"",""AXEL"")",axel,27.14,0.28,18.24,0
"=HYPERLINK(""https://www.coingecko.com/en/coins/seur"",""sEUR"")",seur,25.11,1.21,12.95,0
"=HYPERLINK(""https://www.coingecko.com/en/coins/petrachor"",""Petrachor"")",pta,23.86,0.04,12.88,0
"=HYPERLINK(""https://www.coingecko.com/en/coins/deus-finance"",""DEUS Finance"")",deus,23.25,9.64,11.32,1
"=HYPERLINK(""https://www.coingecko.com/en/coins/meter-governance"",""Meter Governance"")",mtrg,21.63,7.53,13.65,0
"=HYPERLINK(""https://www.coingecko.com/en/coins/open-governance-token"",""OPEN Governance Token"")",open,21.09,2.66,18.65,1
"=HYPERLINK(""https://www.coingecko.com/en/coins/deltahub-community"",""DeltaHub Community"")",DHC,20.78,2.63,12.62,1
"=HYPERLINK(""https://www.coingecko.com/en/coins/xaya"",""XAYA"")",chi,17.92,0.31,10.67,0
"=HYPERLINK(""https://www.coingecko.com/en/coins/parachute"",""Parachute"")",par,17.6,0.03,16.08,1
"=HYPERLINK(""https://www.coingecko.com/en/coins/eleven-finance"",""Eleven Finance"")",ele,17.39,5.18,18.17,0
"=HYPERLINK(""https://www.coingecko.com/en/coins/bitmart-token"",""BitMart Token"")",bmx,15.81,0.11,19.85,0
"=HYPERLINK(""https://www.coingecko.com/en/coins/tera"",""TERA"")",tera,15.33,0.02,15.88,0
"=HYPERLINK(""https://www.coingecko.com/en/coins/modefi"",""Modefi"")",mod,14.83,5.19,14.78,1
"=HYPERLINK(""https://www.coingecko.com/en/coins/defidollar"",""DefiDollar"")",dusd,13.85,1.0,19.35,0
