Name,Coin Symbol(ticker),Market Cap(In Millions),Current Price,Percentage Change on ATH,No. of Exchanges
"=HYPERLINK(""https://www.coingecko.com/en/coins/oxen"",""Oxen"")",oxen,96.92,1.81,18.1,4
"=HYPERLINK(""https://www.coingecko.com/en/coins/duckdaodime"",""DuckDaoDime"")",ddim,95.57,92.08,10.83,1
"=HYPERLINK(""https://www.coingecko.com/en/coins/nimiq"",""Nimiq"")",nim,90.93,0.01,18.88,5
"=HYPERLINK(""https://www.coingecko.com/en/coins/unit-protocol-new"",""Unit Protocol New"")",duck,79.81,0.38,16.85,1
"=HYPERLINK(""https://www.coingecko.com/en/coins/0chain"",""0chain"")",zcn,74.06,1.48,17.78,1
"=HYPERLINK(""https://www.coingecko.com/en/coins/phantasma"",""Phantasma"")",soul,73.43,0.74,15.09,3
"=HYPERLINK(""https://www.coingecko.com/en/coins/radicle"",""Radicle"")",rad,71.24,17.03,19.52,1
"=HYPERLINK(""https://www.coingecko.com/en/coins/fortube"",""ForTube"")",for,70.82,0.13,10.78,3
"=HYPERLINK(""https://www.coingecko.com/en/coins/boson-protocol"",""Boson Protocol"")",boson,70.0,4.4,17.91,2
"=HYPERLINK(""https://www.coingecko.com/en/coins/poolz-finance"",""Poolz Finance"")",poolz,67.59,42.56,19.64,1
"=HYPERLINK(""https://www.coingecko.com/en/coins/verus-coin"",""Verus Coin"")",vrsc,54.01,0.88,14.12,0
"=HYPERLINK(""https://www.coingecko.com/en/coins/antimatter"",""AntiMatter"")",matter,53.55,5.3,12.4,1
"=HYPERLINK(""https://www.coingecko.com/en/coins/aleph.im"",""Aleph.im"")",aleph,51.4,0.63,13.17,2
"=HYPERLINK(""https://www.coingecko.com/en/coins/plasma-finance"",""Plasma Finance"")",ppay,51.39,0.33,16.68,1
"=HYPERLINK(""https://www.coingecko.com/en/coins/powertrade-fuel"",""PowerTrade Fuel"")",ptf,51.17,2.26,15.36,1
"=HYPERLINK(""https://www.coingecko.com/en/coins/troy"",""Troy"")",troy,50.81,0.03,17.72,3
"=HYPERLINK(""https://www.coingecko.com/en/coins/hydradx"",""HydraDX"")",xhdx,50.52,0.12,16.89,0
"=HYPERLINK(""https://www.coingecko.com/en/coins/interest-bearing-dpi"",""Interest Bearing DPI"")",bdpi,47.74,435.52,16.81,0
"=HYPERLINK(""https://www.coingecko.com/en/coins/hermez-network"",""Hermez Network"")",hez,47.39,6.33,14.46,1
