Name,Coin Symbol(ticker),Market Cap(In Millions),Current Price,Percentage Change on ATH,No. of Exchanges
"=HYPERLINK(""https://www.coingecko.com/en/coins/ferrum-network"",""Ferrum Network"")",frm,99.8,0.86,10.91,2
"=HYPERLINK(""https://www.coingecko.com/en/coins/smartlands-network"",""Smartlands Network"")",slt,85.83,16.83,12.3,0
"=HYPERLINK(""https://www.coingecko.com/en/coins/dfohub"",""dfohub"")",buidl,84.79,26.63,14.18,1
"=HYPERLINK(""https://www.coingecko.com/en/coins/radicle"",""Radicle"")",rad,79.42,18.98,10.3,1
"=HYPERLINK(""https://www.coingecko.com/en/coins/helmet-insure"",""Helmet Insure"")",helmet,78.69,2.56,10.49,0
"=HYPERLINK(""https://www.coingecko.com/en/coins/unit-protocol-new"",""Unit Protocol New"")",duck,77.39,0.37,19.42,1
"=HYPERLINK(""https://www.coingecko.com/en/coins/phantasma"",""Phantasma"")",soul,76.2,0.77,11.58,3
"=HYPERLINK(""https://www.coingecko.com/en/coins/morpheus-labs"",""Morpheus Labs"")",mitx,70.24,0.16,18.67,5
"=HYPERLINK(""https://www.coingecko.com/en/coins/mcdex"",""MCDEX"")",mcb,65.15,30.76,11.99,1
"=HYPERLINK(""https://www.coingecko.com/en/coins/unilayer"",""UniLayer"")",layer,61.35,3.06,18.18,2
"=HYPERLINK(""https://www.coingecko.com/en/coins/wault-finance"",""Wault Finance"")",wault,61.27,82.44,14.05,0
"=HYPERLINK(""https://www.coingecko.com/en/coins/interest-bearing-dpi"",""Interest Bearing DPI"")",bdpi,60.14,466.1,10.97,0
"=HYPERLINK(""https://www.coingecko.com/en/coins/sentivate"",""Sentivate"")",sntvt,59.17,0.02,17.05,3
"=HYPERLINK(""https://www.coingecko.com/en/coins/plasma-finance"",""Plasma Finance"")",ppay,54.68,0.36,15.93,1
"=HYPERLINK(""https://www.coingecko.com/en/coins/hydradx"",""HydraDX"")",xhdx,50.52,0.12,16.89,0
"=HYPERLINK(""https://www.coingecko.com/en/coins/hermez-network"",""Hermez Network"")",hez,48.77,6.52,11.89,1
"=HYPERLINK(""https://www.coingecko.com/en/coins/curate"",""Curate"")",xcur,44.84,8.53,18.92,3
"=HYPERLINK(""https://www.coingecko.com/en/coins/dea"",""DEA"")",dea,42.4,413.46,19.86,1
"=HYPERLINK(""https://www.coingecko.com/en/coins/slink"",""sLINK"")",slink,42.0,33.7,12.81,0
"=HYPERLINK(""https://www.coingecko.com/en/coins/mstable-usd"",""mStable USD"")",musd,40.95,1.02,15.7,1
"=HYPERLINK(""https://www.coingecko.com/en/coins/popsicle-finance"",""Popsicle Finance"")",ice,38.94,7.96,16.91,1
"=HYPERLINK(""https://www.coingecko.com/en/coins/stasis-euro"",""STASIS EURO"")",eurs,38.72,1.21,10.37,4
"=HYPERLINK(""https://www.coingecko.com/en/coins/exnetwork-token"",""ExNetwork Token"")",exnt,36.6,0.58,14.03,1
"=HYPERLINK(""https://www.coingecko.com/en/coins/mirrored-amazon"",""Mirrored Amazon"")",mamzn,33.44,3442.59,16.48,2
"=HYPERLINK(""https://www.coingecko.com/en/coins/mirrored-netflix"",""Mirrored Netflix"")",mnflx,32.8,561.41,18.94,1
"=HYPERLINK(""https://www.coingecko.com/en/coins/mirrored-twitter"",""Mirrored Twitter"")",mtwtr,32.05,72.0,11.17,2
"=HYPERLINK(""https://www.coingecko.com/en/coins/mirrored-invesco-qqq-trust"",""Mirrored Invesco QQQ Trust"")",mqqq,31.9,343.1,16.83,1
"=HYPERLINK(""https://www.coingecko.com/en/coins/mirrored-microsoft"",""Mirrored Microsoft"")",mmsft,31.41,260.76,16.68,1
"=HYPERLINK(""https://www.coingecko.com/en/coins/coin"",""Coin"")",coin,29.46,0.36,11.17,1
"=HYPERLINK(""https://www.coingecko.com/en/coins/axel"",""AXEL"")",axel,28.69,0.3,13.62,0
"=HYPERLINK(""https://www.coingecko.com/en/coins/mirrored-united-states-oil-fund"",""Mirrored United States Oil Fund"")",muso,28.28,41.79,11.05,1
"=HYPERLINK(""https://www.coingecko.com/en/coins/bitberry-token"",""Bitberry Token"")",bbr,28.09,12.14,19.44,1
"=HYPERLINK(""https://www.coingecko.com/en/coins/upbots"",""UpBots"")",ubxt,27.75,0.08,10.09,1
"=HYPERLINK(""https://www.coingecko.com/en/coins/polyswarm"",""PolySwarm"")",nct,23.89,0.02,18.47,4
"=HYPERLINK(""https://www.coingecko.com/en/coins/seur"",""sEUR"")",seur,23.12,1.21,12.95,0
"=HYPERLINK(""https://www.coingecko.com/en/coins/deus-finance"",""DEUS Finance"")",deus,23.07,9.75,10.3,1
"=HYPERLINK(""https://www.coingecko.com/en/coins/open-governance-token"",""OPEN Governance Token"")",open,20.97,2.64,19.27,1
"=HYPERLINK(""https://www.coingecko.com/en/coins/meter-governance"",""Meter Governance"")",mtrg,20.64,7.19,17.55,0
"=HYPERLINK(""https://www.coingecko.com/en/coins/dracula-token"",""Dracula Token"")",drc,17.25,1.21,12.32,1
"=HYPERLINK(""https://www.coingecko.com/en/coins/xaya"",""XAYA"")",chi,16.34,0.3,16.03,1
"=HYPERLINK(""https://www.coingecko.com/en/coins/tera"",""TERA"")",tera,15.74,0.02,14.76,0
"=HYPERLINK(""https://www.coingecko.com/en/coins/sureremit"",""SureRemit"")",rmt,14.46,0.02,16.45,0
"=HYPERLINK(""https://www.coingecko.com/en/coins/wowswap"",""WOWswap"")",wow,14.37,56.43,19.39,0
"=HYPERLINK(""https://www.coingecko.com/en/coins/defidollar"",""DefiDollar"")",dusd,14.03,1.01,18.55,0
"=HYPERLINK(""https://www.coingecko.com/en/coins/dust-token"",""DUST Token"")",dust,13.73,0.06,18.88,0
"=HYPERLINK(""https://www.coingecko.com/en/coins/mstable-btc"",""mStable BTC"")",mbtc,13.44,53794.0,17.32,0
"=HYPERLINK(""https://www.coingecko.com/en/coins/likecoin"",""LikeCoin"")",like,13.19,0.01,10.69,0
"=HYPERLINK(""https://www.coingecko.com/en/coins/ideaology"",""Ideaology"")",idea,12.6,0.64,14.59,1
"=HYPERLINK(""https://www.coingecko.com/en/coins/plair"",""Plair"")",pla,12.12,0.0,19.03,0
"=HYPERLINK(""https://www.coingecko.com/en/coins/katalyo"",""Katalyo"")",ktlyo,11.9,0.91,13.22,1
